Batting run rate(runs scored per overs),Bowling Economy Rate(runs conceded in previous x games/over bowled),Batting Average(runs per wicket lost),Bowling Average(runs conceded by wickets taken),Batting Wicket Rate(wickets lost/balls batted),Bowling Strike rate(wickets taken/ balls bowled),batting runrate* batting average,bowling economy rate *bowling average,Prediction
5.912408759,5.38,67.5,38.42857143,0.01459854,0.023333333,399.0875912,206.7457143,1
6.080808081,6,33.44444444,37.5,0.03030303,0.026666667,203.369248,225,1
6.1,4.86,81.33333333,27,0.0125,0.03,496.1333333,131.22,1
5.452631579,6.32,25.9,39.5,0.035087719,0.026666667,141.2231579,249.64,0
4.34,4.24,24.11111111,21.2,0.03,0.033557047,104.6422222,89.888,1
6,5.36,37.5,26.8,0.026666667,0.034602076,225,143.648,1
3.696,3.14,15.4,22.42857143,0.04,0.042168675,56.9184,70.42571429,0
6.58,5.12,65.8,25.6,0.016666667,0.037453184,432.964,131.072,1
5.469387755,5.34,38.28571429,33.375,0.023809524,0.026666667,209.3994169,178.2225,1
5.830388693,5.6,34.375,46.66666667,0.028268551,0.02,200.4196113,261.3333333,1
5.84,5.36,41.71428571,26.8,0.023333333,0.034246575,243.6114286,143.648,1
5.813148789,5.56,93.33333333,55.6,0.010380623,0.016666667,542.5605536,309.136,1
6.06,4.32,60.6,21.6,0.016666667,0.033557047,367.236,93.312,1
5.092250923,4.72,23,59,0.036900369,0.01384083,117.1217712,278.48,0
4.516129032,5.64,21,31.33333333,0.035842294,0.03,94.83870968,176.72,0
5.093023256,4.36,31.28571429,24.22222222,0.027131783,0.03,159.3388704,105.6088889,1
4.96,5.04,24.8,63,0.033333333,0.013986014,123.008,317.52,0
5.750865052,5.52,46.16666667,27.6,0.020761246,0.033670034,265.4982699,152.352,1
5.506849315,5.84,26.8,41.71428571,0.034246575,0.023333333,147.5835616,243.6114286,0
5.56,5.6,55.6,93.33333333,0.016666667,0.010600707,309.136,522.6666667,0
4.348993289,6.06,21.6,60.6,0.033557047,0.016666667,93.93825503,367.236,0
5.714285714,5.58,70,39.85714286,0.013605442,0.023333333,400,222.4028571,1
